Area,Water_Type,Lat,Long,Crop,06_08,06_20,07_02,07_14,07_26,08_07,08_19,08_31,09_12,09_24,10_18,10_30
3,Rain & Canal water ,17.62251944,77.99178889,Paddy,4,7,11,15,19,25,30,35,42,48,55,63
2,Rain & Canal water ,17.62086667,77.99001389,Paddy,10,15,18,24,29,30,38,49,52,58,59,50
3,Bore & rain,17.62150556,77.98443333,Paddy,5,10,15,20,25,30,45,55,58,60,68,70
2.75,Rain,17.62217778,77.98799444,Cotton ,7,15,19,24,28,35,39,45,49,52,58,85
3,Rain,17.62256111,77.98499167,Cotton ,4,14,18,24,28,34,39,45,50,55,60,72
4,Rain,17.62576111,77.98328333,Cotton ,4,7,11,15,19,25,30,35,42,48,55,71
2,Rain,17.62727222,77.98594444,Cotton ,10,15,18,24,29,30,38,49,52,58,59,60
3,Rain,17.62754444,77.98136389,Cotton ,7,15,19,24,28,35,39,45,49,52,58,72
3,Rain,17.62966389,77.98215,Cotton ,4,14,18,24,28,34,39,45,50,55,60,72
2,Rain & Canal water ,17.622325,77.98199167,Paddy,4,7,11,15,19,25,30,35,42,48,55,40
2,Rain & Canal water ,17.62268056,77.97953056,Paddy,10,15,18,24,29,30,38,49,52,58,59,38
2,Bore & rain,17.61190833,77.98781944,Paddy,6,12,15,18,21,25,29,31,34,36,38,40
2,Bore & rain,17.60428611,77.99800278,Paddy,4,7,11,15,18,20,22,25,27,28,35,38
2,Bore & rain,17.60756389,78.01888056,Paddy,4,8,12,16,20,24,28,31,35,37,38,40
1,Bore & rain,17.60730278,78.01938889,Vegetables ,2,7,8,10,15,20,25,30,35,40,45,55
2,Bore & rain,17.61261944,78.01687222,Paddy,5,10,15,20,24,28,31,35,38,40,45,50
1,Bore Rain & Canal Water,17.61572222,78.01426667,Paddy,5,10,25,30,35,40,42,48,50,58,60,68
2.5,Bore Rain & Canal Water,17.61910833,77.98505,Paddy,4,5,9,12,16,20,25,30,35,40,45,50
2,Bore Rain & Canal Water,17.61910556,77.9868,Maize,4,15,20,27,29,35,40,45,49,52,55,60
1.5,Bore & rain,17.597275,77.98436944,Maize,4,19,25,30,35,40,45,55,59,62,68,75
2,Bore & rain,17.59736389,77.98320278,Vegetables ,8,12,18,24,30,35,40,45,50,55,58,60
